user_id,item_id,interaction,timestamp,category,description
1,101,5,2024-01-01,electronics,smartphone
1,102,3,2024-01-02,electronics,laptop
1,103,4,2024-01-03,electronics,headphones
2,101,4,2024-01-02,electronics,smartphone
2,104,2,2024-01-04,home,chair
2,105,5,2024-01-05,home,table
3,106,5,2024-01-01,fashion,shirt
3,107,3,2024-01-03,fashion,jeans
3,108,4,2024-01-05,fashion,jacket
4,101,2,2024-01-02,electronics,smartphone
4,103,5,2024-01-06,electronics,headphones
4,109,4,2024-01-07,books,novel
5,110,5,2024-01-03,books,story book
5,111,3,2024-01-04,books,magazine
5,102,4,2024-01-05,electronics,laptop
6,105,4,2024-01-06,home,table
6,112,5,2024-01-07,home,sofa
6,104,3,2024-01-08,home,chair
7,106,4,2024-01-02,fashion,shirt
7,108,5,2024-01-06,fashion,jacket
7,113,3,2024-01-07,fashion,shoes
8,109,5,2024-01-08,books,novel
8,111,4,2024-01-09,books,magazine
8,114,3,2024-01-10,books,comics
